time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,cldc
2016-07-18,25.8,69.98,87.08000000000001,68,0.0,0,9.8,,1018.8,
2016-07-19,26.6,69.98,87.98,60,0.0,0,8.2,,1021.7,
2016-07-20,27.3,73.94,89.06,65,0.0,0,10.8,,1020.3,
2016-07-21,28.0,75.02,89.96000000000001,75,19.8,0,15.3,,1016.4,
2016-07-22,27.6,73.94,91.03999999999999,70,0.5,0,12.2,,1014.4,
2016-07-23,28.8,71.96,91.94,72,28.4,0,10.2,,1013.5,
2016-07-24,26.9,73.04,93.91999999999999,76,17.8,0,19.9,,1011.4,
2016-07-25,26.9,73.94,87.08000000000001,59,0.0,0,14.1,,1014.0,
2016-07-26,27.2,73.04,87.08000000000001,55,0.0,0,8.3,,1015.7,
2016-07-27,27.5,71.06,89.96000000000001,56,0.0,0,7.4,,1013.9,
2016-07-28,25.3,71.96,84.02,74,17.8,0,8.2,,1011.3,
2016-07-29,23.9,69.98,82.04,81,27.4,0,11.3,,1012.2,
2016-07-30,23.4,71.06,78.98,74,0.0,0,17.7,,1013.7,
2016-07-31,23.7,66.92,82.04,72,0.0,0,11.7,,1015.9,
2016-08-01,25.0,69.98,82.94,69,0.0,0,11.4,,1017.1,3
2016-08-02,26.5,73.04,87.98,63,0.0,0,9.8,,1017.1,
2016-08-03,27.9,73.94,89.96000000000001,58,0.0,0,8.3,,1016.0,2
2016-08-04,28.9,75.02,91.94,56,0.0,0,10.8,,1012.9,2
2016-08-05,26.2,73.94,87.98,68,0.0,0,12.1,,1010.8,
2016-08-06,24.6,66.92,82.94,58,0.0,0,12.3,,1013.9,
2016-08-07,24.3,66.02,84.02,58,0.0,0,11.0,,1016.2,
2016-08-08,26.1,73.94,84.91999999999999,57,0.0,0,17.1,,1015.9,
2016-08-09,27.0,71.06,89.96000000000001,52,0.0,0,9.4,,1014.8,
2016-08-10,28.4,73.94,91.03999999999999,57,0.0,0,8.1,,1016.4,
2016-08-11,29.6,77.0,93.91999999999999,63,0.0,0,17.1,,1012.7,
2016-08-12,26.4,75.02,84.02,82,50.8,0,10.6,,1009.0,
2016-08-13,26.4,75.02,84.91999999999999,75,3.6,0,13.8,,1008.4,
2016-08-14,25.7,69.08,84.91999999999999,64,0.0,0,8.5,,1015.3,
2016-08-15,23.6,71.96,78.08,80,6.9,0,13.8,,1016.4,
