time,temp,tmin,tmax,rhum,prcp,wspd,pres,cldc
2022-04-24,25.2,69.8,84.2,75,,23.2,1013.0,
2022-04-25,23.2,64.4,87.8,81,2.1,19.9,1017.0,
2022-04-26,21.2,62.6,77.0,71,0.0,17.4,1023.0,
2022-04-27,21.6,62.6,78.8,59,0.0,14.8,1021.0,
2022-04-28,23.0,64.4,82.4,74,0.0,15.5,1015.9,
2022-04-29,24.5,68.0,84.2,74,0.1,19.5,1011.5,
2022-04-30,25.8,73.4,87.8,77,0.9,15.5,1011.2,
2022-05-01,26.0,73.4,87.8,78,3.6,14.6,1014.0,
2022-05-02,26.2,75.2,86.0,74,0.1,23.2,1012.2,
2022-05-03,26.7,75.2,87.8,75,1.0,19.9,1012.9,
2022-05-04,26.8,75.2,87.8,75,0.1,20.8,1013.4,
2022-05-05,26.5,69.8,87.8,76,2.0,24.3,1011.2,
2022-05-06,25.8,66.2,91.4,78,0.0,11.3,1011.1,
2022-05-07,27.4,75.2,91.4,79,0.0,14.2,1008.8,
2022-05-08,28.2,77.0,89.6,71,0.0,20.7,1007.3,
2022-05-09,28.4,78.8,89.6,73,0.0,22.2,1010.6,
2022-05-10,27.9,75.2,89.6,70,0.0,20.3,1016.7,
2022-05-11,26.6,73.4,87.8,73,0.0,13.2,1019.1,
2022-05-12,26.2,69.8,89.6,67,0.0,11.1,1016.4,
2022-05-13,26.4,69.8,89.6,69,0.0,12.9,1013.2,
2022-05-14,26.5,71.6,89.6,70,0.0,12.5,1014.1,
2022-05-15,26.9,71.6,91.4,68,0.0,13.7,1013.9,
2022-05-16,27.9,73.4,93.2,67,0.0,14.3,1014.0,
2022-05-17,27.2,73.4,91.4,70,0.0,13.2,1014.8,
2022-05-18,27.8,73.4,93.2,68,0.0,18.8,1013.1,
2022-05-19,28.1,75.2,91.4,68,0.0,21.7,1009.4,
2022-05-20,29.0,78.8,91.4,70,0.0,25.8,1006.0,
2022-05-21,29.6,80.6,91.4,72,16.1,22.1,1011.2,
2022-05-22,25.8,69.8,84.2,73,9.6,15.6,1017.7,
2022-05-23,24.7,71.6,84.2,73,0.0,16.1,1015.4,
2022-05-24,24.8,69.8,82.4,80,2.2,16.0,1008.6,
2022-05-25,23.4,64.4,84.2,69,42.7,14.7,1010.3,
2022-05-26,26.2,64.4,93.2,54,0.0,11.8,1014.0,
2022-05-27,28.4,71.6,95.0,61,0.0,13.1,1014.9,
2022-05-28,27.7,71.6,93.2,64,0.0,12.1,1012.2,
2022-05-29,27.7,73.4,89.6,71,0.0,18.1,1009.1,
2022-05-30,28.7,78.8,89.6,70,1.2,25.7,1009.5,
2022-05-31,28.9,78.8,91.4,72,0.4,20.5,1012.2,
2022-06-01,28.9,77.72,91.4,71,1.4,15.0,1013.5,
2022-06-02,28.7,75.2,93.2,67,0.8,10.9,1012.8,
2022-06-03,27.7,73.4,89.6,62,0.0,13.9,1011.6,
2022-06-04,27.4,73.4,89.6,68,0.8,9.0,1010.2,
2022-06-05,28.1,75.2,93.2,70,0.3,12.1,1007.9,
2022-06-06,28.5,77.0,91.4,70,0.0,20.5,1007.8,
2022-06-07,29.2,77.0,93.2,68,0.0,16.9,1010.4,
2022-06-08,29.7,78.8,96.8,69,0.0,15.7,1012.4,
2022-06-09,29.8,78.8,96.8,69,0.0,11.3,1014.5,
2022-06-10,30.0,78.8,96.8,70,0.4,14.2,1012.3,
2022-06-11,30.0,77.0,96.8,70,0.0,13.7,1011.0,
2022-06-12,30.4,78.8,96.8,68,0.0,17.9,1011.9,
2022-06-13,30.5,78.8,96.8,66,0.0,19.4,1014.1,
2022-06-14,30.1,80.6,93.2,68,0.0,20.8,1015.0,
2022-06-15,30.3,80.6,95.0,67,0.0,17.9,1015.9,
2022-06-16,30.2,78.8,98.6,67,0.0,10.5,1017.3,
2022-06-17,29.8,78.8,93.2,67,4.1,10.2,1016.5,
2022-06-18,30.0,78.8,96.8,65,0.0,9.0,1015.5,
2022-06-19,31.2,77.0,98.6,58,0.0,10.3,1015.8,
2022-06-20,31.7,78.8,98.6,59,0.0,10.6,1016.9,
2022-06-21,30.1,80.6,96.8,67,0.0,11.0,1019.0,
2022-06-22,30.2,78.8,93.2,64,0.4,10.1,1018.4,
2022-06-23,30.8,77.0,98.6,59,0.0,11.7,1014.9,
