time,temp,tmin,tmax,rhum,prcp,snwd,wspd,pres,cldc
2016-07-22,38.2,87.08000000000001,111.91999999999999,7,0.0,0,11.9,1008.4,2
2016-07-23,38.2,84.02,113.0,8,0.0,0,10.8,1005.6,1
2016-07-24,38.3,87.98,111.91999999999999,12,0.0,0,13.7,1005.3,0
2016-07-25,37.9,89.06,109.94,10,0.0,0,11.9,1006.7,3
2016-07-26,37.6,87.08000000000001,111.91999999999999,16,0.0,0,9.0,1006.5,2
2016-07-27,39.1,89.96000000000001,114.98,13,0.0,0,7.9,1005.9,2
2016-07-28,39.3,91.03999999999999,114.98,13,0.0,0,6.1,1005.5,
2016-07-29,39.3,93.91999999999999,113.0,14,0.0,0,10.8,1004.6,
2016-07-30,37.3,84.91999999999999,109.03999999999999,25,0.0,0,15.5,1005.0,
2016-07-31,35.1,86.0,105.98,30,0.8,0,15.5,1006.2,3
2016-08-01,33.4,82.94,102.91999999999999,33,0.0,0,10.1,1008.7,
2016-08-02,34.4,86.0,102.91999999999999,31,0.0,0,11.9,1009.7,3
2016-08-03,34.9,78.08,105.98,33,0.3,0,16.9,1008.5,
2016-08-04,28.1,73.04,84.91999999999999,57,1.0,0,7.2,1010.2,
2016-08-05,30.1,78.98,100.94,35,0.0,0,12.6,1006.6,
2016-08-06,34.4,84.02,104.0,17,0.0,0,12.6,1004.8,2
2016-08-07,35.3,84.02,105.98,12,0.0,0,16.2,1003.3,1
2016-08-08,35.2,84.02,105.98,10,0.0,0,13.7,1002.9,0
2016-08-09,34.8,82.04,102.91999999999999,10,0.0,0,17.6,1003.7,0
2016-08-10,33.4,82.04,102.91999999999999,17,0.0,0,16.6,1006.4,2
2016-08-11,33.3,80.06,102.02,11,0.0,0,12.6,1009.8,1
2016-08-12,33.7,78.98,105.08000000000001,10,0.0,0,6.1,1010.5,1
2016-08-13,34.9,80.96,107.96000000000001,12,0.0,0,6.1,1008.4,1
2016-08-14,36.1,82.04,111.02,10,0.0,0,9.4,1006.7,1
2016-08-15,37.6,86.0,107.96000000000001,8,0.0,0,15.5,1006.5,1
2016-08-16,36.1,84.02,107.96000000000001,4,0.0,0,12.2,1006.9,1
2016-08-17,34.9,82.04,107.06,7,0.0,0,10.8,1006.9,2
2016-08-18,34.0,82.94,102.02,22,2.0,0,9.4,1008.0,
2016-08-19,31.6,80.96,100.03999999999999,22,0.0,0,7.6,1007.9,
2016-08-20,34.3,84.91999999999999,105.98,13,0.0,0,11.9,1005.8,
2016-08-21,34.2,80.96,100.94,17,0.0,0,17.3,1006.4,
2016-08-22,31.1,71.96,98.96000000000001,31,0.0,0,11.2,1008.6,
2016-08-23,27.1,71.06,93.02,43,0.8,0,6.8,,
2016-08-24,30.8,75.92,102.02,24,0.0,0,9.4,1010.5,2
2016-08-25,33.9,82.04,100.94,12,0.0,0,15.5,1007.2,2
2016-08-26,31.8,78.08,98.06,23,0.0,0,12.2,1008.5,
2016-08-27,27.7,71.06,89.96000000000001,34,0.3,0,15.5,1012.2,
2016-08-28,28.6,75.02,96.08000000000001,28,0.0,0,6.1,1013.4,1
2016-08-29,31.8,77.0,104.0,18,0.0,0,6.1,1011.8,1
2016-08-30,33.8,80.06,105.98,12,0.0,0,7.9,1009.1,2
