time,temp,tmin,tmax,rhum,prcp,snwd,wspd,pres,tsun,cldc
2016-07-16,28.3,75.02,91.03999999999999,75,0.3,,13.3,1018.4,673,
2016-07-17,29.7,78.08,91.03999999999999,70,1.5,,19.8,1019.8,634,
2016-07-18,29.3,77.0,91.94,70,0.3,,21.2,1020.6,749,
2016-07-19,30.1,80.06,91.94,66,0.0,,19.4,1019.3,741,
2016-07-20,29.9,82.04,91.94,69,0.0,,18.0,1018.7,,
2016-07-21,28.4,75.92,87.98,79,20.3,,11.5,1018.5,335,
2016-07-22,28.2,75.92,91.03999999999999,79,1.0,,7.6,1018.1,379,
2016-07-23,27.3,75.92,89.96000000000001,80,13.5,,6.1,1016.8,544,
2016-07-24,26.9,77.0,87.98,75,0.0,,6.8,1017.5,521,
2016-07-25,29.1,78.08,91.03999999999999,72,0.0,,11.9,1017.7,756,
2016-07-26,30.0,77.0,91.03999999999999,70,3.6,,15.5,1017.8,764,
2016-07-27,28.8,75.92,91.03999999999999,73,2.8,,14.4,1017.8,697,
2016-07-28,29.8,80.06,91.03999999999999,71,0.0,,15.1,1017.5,,
2016-07-29,29.4,78.98,89.96000000000001,74,1.8,,6.1,1017.4,671,
2016-07-30,29.7,78.08,93.02,66,0.0,,9.7,1017.4,656,
2016-07-31,29.4,80.06,91.03999999999999,69,0.0,,15.5,1017.9,640,
2016-08-01,30.2,73.04,91.94,70,43.7,,18.7,1018.7,,
2016-08-02,28.6,73.04,91.03999999999999,83,96.3,,14.4,1018.0,,
2016-08-03,27.2,75.02,89.96000000000001,80,0.0,,9.0,1016.7,443,
2016-08-04,29.1,80.06,91.94,76,0.0,,10.4,1016.4,,
2016-08-05,29.6,80.96,91.03999999999999,70,0.0,,12.2,1016.5,705,
2016-08-06,28.6,73.04,91.03999999999999,81,52.3,,11.5,1016.2,378,
2016-08-07,27.4,73.94,89.96000000000001,87,3.0,,7.2,1015.8,,
2016-08-08,27.0,73.94,84.91999999999999,94,8.1,,7.9,1015.6,46,
2016-08-09,27.7,73.94,89.96000000000001,86,34.3,,9.7,1017.1,524,
2016-08-10,27.7,75.92,91.94,79,1.0,,5.4,1019.0,633,
2016-08-11,28.3,78.08,87.98,79,0.0,,10.8,1018.2,630,
2016-08-12,28.6,77.0,89.96000000000001,80,2.0,,14.0,1016.5,700,
2016-08-13,29.2,75.02,89.96000000000001,72,2.3,,14.8,1016.7,739,
2016-08-14,28.1,75.02,91.03999999999999,78,1.3,,19.1,1017.4,591,
2016-08-15,29.6,80.06,91.94,75,1.3,,16.9,1018.6,,
2016-08-16,29.2,78.08,89.96000000000001,78,7.4,,16.2,1019.1,,
2016-08-17,28.2,75.92,89.06,80,13.2,,11.2,1019.3,500,
2016-08-18,29.3,78.98,91.03999999999999,77,3.8,,12.6,1018.1,608,
2016-08-19,28.8,78.98,89.96000000000001,78,2.3,,6.8,1016.8,531,
2016-08-20,29.3,77.0,93.02,74,0.0,,7.9,1015.6,724,3
2016-08-21,30.2,78.98,93.91999999999999,70,0.0,,7.9,1016.4,623,4
2016-08-22,30.4,80.06,93.02,70,0.0,,7.9,1018.3,695,2
2016-08-23,30.5,82.94,93.91999999999999,71,0.0,,13.3,1019.4,645,
2016-08-24,29.6,80.06,89.96000000000001,79,0.0,,11.2,1017.2,414,
2016-08-25,29.7,80.06,93.91999999999999,77,0.5,,11.9,1014.6,,
2016-08-26,29.4,78.08,91.94,78,5.3,,11.2,1013.6,507,
