time,temp,tmin,tmax,rhum,prcp,wspd,wpgt,pres,cldc
2020-01-15,7.8,41.0,50.0,65,,,,,
2020-01-16,6.0,33.8,48.2,62,,,,,
2020-01-17,-3.5,21.2,33.8,36,,,,,
2020-01-18,-3.1,19.4,37.4,62,,,,,
2020-01-19,3.1,28.4,42.8,61,,,,,
2020-01-20,-3.9,19.4,30.2,40,,,,,
2020-01-21,-3.5,24.2,35.6,46,,,,,
2020-01-22,-0.0,29.0,41.0,49,,,,,
2020-01-23,4.7,33.8,46.4,42,,,,,
2020-01-24,6.3,35.6,49.1,48,,,,,
2020-01-25,6.1,37.4,51.8,88,,,,,
2020-01-26,5.3,39.2,46.4,65,,,,,
2020-01-27,4.8,37.4,44.6,60,,,,,
2020-01-28,3.9,33.2,42.2,55,,,,,
2020-01-29,1.9,29.0,39.800000000000004,45,,,,,
2020-01-30,-0.2,24.8,37.4,54,,,,,
2020-01-31,4.0,33.8,44.6,70,,,,,
2020-02-01,4.9,37.4,42.8,80,,,,,
2020-02-02,3.6,35.6,44.6,76,,,,,
2020-02-03,9.0,37.4,55.4,59,,,,,
2020-02-04,10.7,42.8,60.8,71,,,,,
2020-02-05,5.3,39.2,53.6,59,,,,,
2020-02-06,3.7,35.6,41.0,92,,,,,
2020-02-07,4.4,33.8,51.8,76,,,,,
2020-02-08,1.6,30.2,39.2,48,,,,,
2020-02-09,3.0,30.2,42.8,68,,,,,
2020-02-10,6.8,42.8,46.4,78,,,,,
2020-02-11,7.4,44.6,48.2,88,,,,,
2020-02-12,5.5,41.0,46.4,50,,,,,
2020-02-13,4.5,37.4,44.6,86,,,,,
2020-02-14,-1.5,17.6,39.2,42,,,,,
2020-02-15,-4.8,15.8,30.2,48,,,,,
2020-02-16,2.9,30.2,44.6,58,,,,,
2020-02-17,6.5,37.4,50.0,44,,,,,
2020-02-18,5.5,35.6,49.1,74,,,,,
2020-02-19,5.8,33.8,48.2,44,,,,,
2020-02-20,0.0,26.6,48.2,41,,,,,
2020-02-21,-1.9,19.4,35.6,35,,,,,
2020-02-22,4.4,30.2,50.0,27,,,,,
2020-02-23,8.5,39.2,55.4,22,,,,,
2020-02-24,10.0,41.0,60.8,43,,,,,
2020-02-25,9.2,46.4,51.8,78,,,,,
2020-02-26,7.9,44.6,46.4,92,,,,,
2020-02-27,3.7,30.2,42.8,59,,,,,
2020-02-28,1.4,28.4,41.0,36,,,,,
2020-02-29,-1.0,26.6,41.9,38,,,,,
2020-03-01,1.6,24.8,42.8,40,,,,,
2020-03-02,9.8,39.2,57.2,46,,,,,
2020-03-03,11.8,48.2,59.0,74,,,,,
2020-03-04,10.0,46.4,55.4,47,,,,,
2020-03-05,7.0,39.2,51.8,49,,,,,
2020-03-06,4.8,37.4,44.6,80,,,,,
2020-03-07,4.8,35.6,48.2,43,,,,,
2020-03-08,8.1,35.6,59.0,29,,,,,
2020-03-09,14.9,46.4,71.6,27,,,,,
2020-03-10,15.9,44.6,63.5,48,,,,,
2020-03-11,10.4,42.8,55.4,44,,,,,
2020-03-12,8.0,44.6,48.2,65,,,,,
2020-03-13,12.9,44.6,69.8,66,,,,,
2020-03-14,9.2,42.8,55.4,32,,,,,
2020-03-15,8.2,42.8,53.6,35,,,,,
2020-03-16,4.1,33.8,44.6,45,,,,,
2020-03-17,8.5,41.0,53.6,74,,,,,
2020-03-18,8.4,42.8,53.6,45,,,,,
2020-03-19,8.2,41.0,51.8,82,,,,,
2020-03-20,15.1,46.4,77.0,72,,,,,
2020-03-21,9.1,42.8,66.2,38,,,,,
2020-03-22,3.3,33.8,44.6,40,,,,,
2020-03-23,3.2,35.6,41.0,82,,,,,
2020-03-24,7.1,35.6,53.6,63,,,,,
2020-03-25,5.8,39.2,44.6,72,,,,,
2020-03-26,8.3,37.4,57.2,58,,,,,
2020-03-27,14.5,50.0,68.0,45,,,,,
2020-03-28,8.7,44.6,55.4,66,,,,,
2020-03-29,7.2,44.6,46.4,95,,,,,
2020-03-30,7.9,42.8,51.8,83,,,,,
2020-03-31,6.7,41.0,48.2,74,,,,,
2020-04-01,8.1,37.4,55.4,50,,,,,
2020-04-02,9.1,37.4,57.2,43,,,,,
2020-04-03,9.6,41.9,59.0,68,,,,,
2020-04-04,10.7,46.4,60.8,69,,,,,
2020-04-05,12.1,46.4,64.4,72,,,,,
2020-04-06,13.8,49.1,65.3,45,,,,,
2020-04-07,14.1,51.8,66.2,34,,,,,
2020-04-08,13.5,50.0,64.4,72,,,,,
2020-04-09,10.5,46.4,57.2,66,,,,,
2020-04-10,6.2,37.4,48.2,52,,,,,
2020-04-11,8.2,37.4,55.4,33,,,,,
2020-04-12,12.2,44.6,62.6,45,,,,,
2020-04-13,14.5,53.6,66.2,87,,,,,
2020-04-14,11.1,48.2,59.0,44,,,,,
2020-04-15,8.5,42.8,51.8,38,,,,,
