time,temp,tmin,tmax,rhum,prcp,snwd,wspd,pres,cldc
2016-07-16,37.7,89.96000000000001,107.96000000000001,21,0.0,,11.5,1007.1,2
2016-07-17,37.1,89.96000000000001,105.08000000000001,23,0.0,,13.3,1008.6,
2016-07-18,35.3,80.96,105.98,38,9.1,,10.1,1011.3,
2016-07-19,33.7,84.02,107.06,37,0.0,,11.2,1011.2,
2016-07-20,35.2,84.91999999999999,107.96000000000001,33,0.0,,10.8,1010.8,
2016-07-21,37.2,87.98,111.91999999999999,26,0.0,,7.9,1009.1,
2016-07-22,38.8,91.03999999999999,111.91999999999999,22,0.0,,14.0,1008.9,
2016-07-23,38.2,89.96000000000001,111.02,23,0.0,,17.6,1006.5,
2016-07-24,37.6,89.96000000000001,107.06,26,0.0,,15.8,1007.5,
2016-07-25,36.6,87.98,107.06,30,0.0,,13.7,1008.6,4
2016-07-26,37.4,91.03999999999999,111.02,24,0.0,,10.8,1006.4,
2016-07-27,38.2,91.03999999999999,111.91999999999999,27,0.0,,15.8,1006.2,3
2016-07-28,37.9,89.06,109.94,27,0.0,,11.9,1006.5,
2016-07-29,38.9,77.0,111.91999999999999,32,13.5,,19.1,1005.5,
2016-07-30,32.7,80.06,100.94,44,0.0,,13.7,1007.4,
2016-07-31,33.8,84.91999999999999,102.02,41,0.0,,18.4,1008.2,
2016-08-01,31.5,80.06,100.03999999999999,45,0.0,,11.9,1010.3,
2016-08-02,33.0,77.0,100.03999999999999,58,3.8,,15.5,1011.8,
2016-08-03,29.7,80.96,98.06,58,0.0,,12.2,1011.1,
2016-08-04,31.8,82.94,100.03999999999999,49,0.0,,13.0,1008.0,
2016-08-05,32.4,75.92,98.06,48,13.2,,10.4,1007.1,
2016-08-06,33.9,84.02,105.98,37,0.0,,9.4,1005.5,2
2016-08-07,36.3,86.0,109.03999999999999,30,0.0,,11.5,1003.8,2
2016-08-08,37.8,87.98,109.94,17,0.0,,11.2,1004.2,2
2016-08-09,35.2,77.0,96.98,44,5.6,,14.4,1007.4,
2016-08-10,32.1,82.04,100.94,48,0.0,,9.0,1009.0,
2016-08-11,31.0,78.08,98.06,54,3.3,,6.8,1011.4,
2016-08-12,34.0,82.04,105.08000000000001,38,0.0,,13.7,1009.6,2
2016-08-13,35.2,84.02,107.96000000000001,30,0.0,,8.3,1007.0,2
2016-08-14,35.3,86.0,105.98,26,0.0,,13.3,1008.0,1
2016-08-15,36.4,86.0,109.94,25,0.0,,11.2,1007.7,2
2016-08-16,37.4,87.08000000000001,111.02,24,0.0,,14.4,1007.2,
2016-08-17,36.6,84.02,109.03999999999999,24,2.5,,12.2,1007.5,
2016-08-18,35.2,82.04,104.0,26,0.3,,13.7,1007.9,
2016-08-19,34.0,78.98,104.0,28,0.0,,17.3,1007.3,
2016-08-20,33.4,80.06,100.03999999999999,36,0.0,,14.0,1008.3,
2016-08-21,31.2,75.92,100.94,35,0.0,,11.2,1008.5,
2016-08-22,31.7,78.98,100.03999999999999,38,0.0,,12.2,1008.9,3
2016-08-23,30.2,73.94,96.08000000000001,42,2.5,,14.8,1011.9,
2016-08-24,31.8,77.0,102.91999999999999,36,1.0,,9.4,1011.3,
2016-08-25,31.5,77.0,102.91999999999999,32,0.0,,9.4,1009.3,3
2016-08-26,32.9,80.06,98.06,33,0.0,,16.6,1009.3,
2016-08-27,32.2,80.06,96.98,29,0.0,,9.7,1009.5,
2016-08-28,31.5,77.0,98.96000000000001,25,0.0,,7.9,1010.9,1
2016-08-29,33.5,78.98,105.08000000000001,22,0.0,,8.6,1009.0,1
2016-08-30,35.4,84.02,107.06,23,0.0,,11.9,1007.8,2
